FID_,average_max_rainfall,average_2hr_rainfall,average_72hr_rainfall,distance to coast,EV,TWI,DTW,label
14341,1.07943744,0.170755311,0.605203092,105.5216732,10.73172314,386.1807994,4.984658494,0
14342,1.09614575,0.172632042,0.613399745,215.0926101,1.725864012,858.6466041,5.831940176,0
14343,1.097711462,0.172760303,0.614047693,191.3527425,1.612317667,932.0552409,5.858478669,0
14344,1.104362936,0.173409267,0.617110679,172.6700298,1.339282042,636.8995276,6.929973015,1
14345,1.103356251,0.173349092,0.616760387,199.8062969,1.540985272,704.5395867,6.154475352,0
14346,1.060358896,0.165445271,0.58828107,165.7583142,2.073283452,87.72461403,4.553129433,0
14348,1.082832108,0.171110315,0.606803406,35.92436066,2.389667022,154.059646,6.694027614,0
14349,1.08124205,0.170900459,0.605950631,63.12249278,2.220126171,249.4881307,8.619839373,1
14350,1.07971171,0.170684393,0.605096426,95.30274964,2.232036442,373.7249831,8.897183575,1
14351,1.078132273,0.170462956,0.604216331,138.2209421,2.40284762,503.2940232,6.607406754,0
14352,1.101908739,0.173306213,0.616438796,94.04679107,2.219386314,369.9722168,5.739365007,0
14353,1.101459455,0.173283072,0.616300267,91.45695838,2.211879881,366.5868763,6.126260765,0
14354,1.102725368,0.173350021,0.616704512,69.46511534,2.3063949,293.8365892,5.050980399,0
14355,1.069330779,0.159694411,0.576095659,218.599504,2.049288053,199.7702367,5.607532383,0
14356,1.071700161,0.158972992,0.57484098,283.5586937,2.452884984,487.5152514,5.347713922,0
14357,1.070545876,0.159316648,0.575432527,262.7886082,2.257589649,349.1521917,5.930921985,0
14358,1.075749314,0.170000131,0.602586719,192.1218,2.192774315,697.8088339,4.534603958,0
14359,1.072805645,0.169585625,0.600952455,286.023467,2.409659462,955.4927506,5.750674501,0
14360,1.073755123,0.169734861,0.601515257,241.9239991,2.364325959,864.1458468,5.027545723,0
14361,1.076902602,0.1702708,0.603486053,175.1619718,2.284839572,602.5398999,5.379846998,0
14362,1.07682187,0.17017863,0.603249061,188.7622748,2.190962851,606.9466228,5.745638979,0
14363,1.107239813,0.173582672,0.618118151,81.6001691,1.801284269,360.6778327,5.654899843,0
14364,1.072629875,0.158697862,0.574370019,285.9289836,2.536151447,599.1426058,4.483048733,0
14365,1.109522517,0.173680273,0.618774401,12.90846117,3.239276228,164.8436951,4.236578319,0
14366,1.080091927,0.170541146,0.604831347,91.18379628,2.664139252,351.4624445,4.531127286,0
14368,1.078012936,0.17028709,0.603770051,141.0241084,2.242403123,517.8851563,4.711542816,0
14369,1.081153504,0.170833788,0.605769795,82.80937843,2.182855358,271.1146467,6.841134849,1
14370,1.081231288,0.170703167,0.605474039,87.9333386,2.773102932,274.1670486,4.909435557,0
14371,1.081269226,0.170770399,0.605643094,85.60820628,2.56043482,271.8019891,5.10510115,0
14372,1.071689122,0.159036305,0.574997211,197.1939644,2.49006188,598.1386397,5.418184614,0
14373,1.072080256,0.158879349,0.574696075,246.9994837,2.479847935,564.777112,5.630931368,0
14374,1.067630643,0.160408853,0.577496193,134.3777555,2.594181113,168.6104854,4.335798677,0
14375,1.07088516,0.159308067,0.575491119,191.1666338,2.624821175,529.4495376,4.569159937,0
14376,1.069772204,0.159667529,0.576133671,191.1855801,2.606353171,360.2764334,4.486526437,0
14377,1.068679076,0.160040332,0.576814469,183.9071653,2.627285815,229.1805063,4.568891533,0
14378,1.066901536,0.160804398,0.578318574,109.15076,2.391916067,371.1820574,5.399559006,0
14379,1.067038243,0.160673397,0.578019765,129.1812367,2.436856582,254.6596958,5.719331875,0
14380,1.064989249,0.161715041,0.580156289,35.51247991,1.875048475,122.1726729,4.376786198,0
14381,1.066482298,0.161030163,0.578787673,102.937985,2.431858812,338.4533927,5.220438209,0
14382,1.065784814,0.161342195,0.579407154,72.9272228,2.402353459,212.9791722,4.423114046,0
14383,1.071290573,0.159254687,0.575449699,106.245452,2.470159883,362.9363923,5.55853545,0
14384,1.072092979,0.158995713,0.574986302,116.368406,2.44935862,304.3560147,7.852950531,0
14385,1.09598174,0.172809984,0.613857468,298.3442207,1.533789972,1332.139702,7.264077501,0
14386,1.067439766,0.159876367,0.576100732,341.7699805,4.768544817,484.1059443,5.294116772,0
14387,1.05850367,0.164669189,0.585936417,259.7195174,4.629754523,68.9034156,5.5086874,0
14388,1.058543487,0.164398891,0.585285134,256.9508641,4.66733215,160.8026419,5.166497217,0
14389,1.058697109,0.164005429,0.584359403,257.0765769,4.808442883,253.4535337,5.063013597,0
14390,1.058981715,0.16361045,0.583457087,261.8339808,4.952835677,340.8663878,5.115149636,0
14391,1.059416139,0.163209989,0.582570747,274.2858145,5.185106749,442.9227949,5.391523996,0
14392,1.060014331,0.162808491,0.581703488,293.1128065,5.345345514,494.3229761,4.873877964,0
14393,1.060747411,0.162400071,0.580852408,289.8637626,5.386658456,346.4773479,5.11907611,0
14394,1.061609942,0.161984713,0.580012655,288.5446,5.378463042,219.3415348,5.064395515,0
14395,1.062577222,0.16156864,0.579196181,288.8929504,5.312338441,163.4698344,5.065745332,0
14396,1.063629817,0.161154978,0.578407034,293.6991973,5.205988111,163.0684082,5.077777926,0
14397,1.064830074,0.160726888,0.577617276,304.3353702,5.083902922,229.8485937,5.087085342,0
14398,1.066090441,0.160301772,0.576849684,321.0578286,4.93225064,347.736212,5.175508792,0
14399,1.098019807,0.173088487,0.615115019,269.2517796,3.474286361,940.4171999,4.751704814,0
14400,1.061146246,0.167271718,0.592900046,295.0844386,2.049590974,882.9233296,9.147745001,0
14401,1.061237684,0.167437411,0.59330528,330.8369673,1.907609554,999.8654486,7.267267455,1
14403,1.084830757,0.171665082,0.608593707,265.1801162,2.0387559,125.7016224,4.596714456,0
14404,1.087463025,0.171854866,0.609622486,242.6624515,2.342726652,105.642062,4.817320318,0
14405,1.082155068,0.171537692,0.607716648,330.4176173,1.135487039,418.5038722,8.240033555,1
14408,1.083852022,0.171633918,0.608317497,290.9946051,1.279829456,278.3413983,8.229923806,0
14409,1.054712798,0.166267532,0.588950969,519.4864841,3.490050317,840.711911,5.356858518,0
14410,1.05402106,0.166244188,0.588723044,568.7444748,3.640002655,924.2244666,4.95541602,0
14411,1.055759563,0.166828655,0.590574985,530.0741749,3.09101406,1067.830184,5.21718705,0
14412,1.055251908,0.166333441,0.589231911,516.4843577,3.403005941,819.5093314,5.113609603,0
14413,1.055387716,0.166511876,0.58970733,518.0283397,3.286562185,908.9207108,4.527170643,0
14414,1.086927411,0.172537446,0.611601853,355.3612135,1.233890551,1229.093596,4.808497281,1
14415,1.078763466,0.172180255,0.609323024,68.83801886,0.77087239,247.08182,5.681840896,1
14416,1.079886287,0.172231339,0.609668894,78.02167764,0.93826939,263.9587454,4.971361007,1
14417,1.05841855,0.16779152,0.593489936,523.4131426,3.328181402,1514.680727,5.075337153,0
14418,1.058386624,0.167901271,0.593736424,563.5483982,3.351741359,1605.919202,5.582210665,0
14419,1.083086295,0.171775563,0.608518952,446.1478726,1.433398842,789.4815855,6.235888246,1
14420,1.083376347,0.171885568,0.60887038,500.1186397,2.762211526,1017.048937,4.40097836,0
14421,1.083227608,0.171841898,0.608724329,493.7751759,2.169047128,925.6619731,5.096234339,0
14422,1.093649973,0.172785188,0.613394013,385.1359958,2.524408502,1393.504066,4.809409235,0
14423,1.08977398,0.172380675,0.611478419,372.9834021,1.551088762,1414.322003,6.134071507,1
14424,1.08835534,0.172290643,0.610954924,419.2179204,1.385383756,1400.518042,6.548268159,1
14425,1.056486691,0.165442302,0.587339996,401.1771786,2.505383275,279.904334,5.08822352,0
14426,1.057660817,0.166238273,0.589576856,376.7321066,2.360961234,533.1946863,4.974112252,0
14427,1.057429557,0.165887729,0.588660943,373.7639766,2.471486121,372.402675,5.088011354,1
14428,1.057224238,0.165552374,0.587795101,373.7743998,2.303067641,227.6024132,7.253534261,1
14429,1.056974013,0.16636285,0.589719141,408.8352267,2.511954109,676.1291541,5.347290532,0
14430,1.057596134,0.166392955,0.589941775,388.533175,2.340432882,629.3067632,5.854114502,0
14431,1.059482984,0.167307651,0.592602313,408.1673173,2.328797806,1037.230682,5.066114559,1
14432,1.060862128,0.16780818,0.594083856,430.2120206,2.309577696,1301.536741,5.033592927,0
14433,1.060370493,0.16762569,0.593547045,414.9587863,2.435701699,1196.929403,5.296089159,0
14434,1.095323082,0.172792669,0.613690553,316.5499144,1.563255382,1368.245576,6.510675927,0
14435,1.094356095,0.172779131,0.613484864,371.9217449,1.569048511,1391.672651,6.333346628,0
14436,1.094828112,0.172787922,0.61359117,346.8946778,1.564220765,1381.109625,6.256137841,0
14437,1.066012568,0.169077151,0.598226018,412.8393182,2.403784648,1458.48557,4.65716677,0
14438,1.062623766,0.168581299,0.596293769,512.8409248,3.02516713,1747.788234,4.6082763,0
14439,1.064146373,0.168810735,0.597176406,462.8244137,2.688066859,1633.032428,4.600669654,0
