FID_,average_max_rainfall,average_2hr_rainfall,average_72hr_rainfall,distance to coast,EV,TWI,DTW,label,probability_1,predicted,correct
1964,0.959173322,0.173985639,0.555044298,90.53881248,2.737763551,211.7512633,5.186157127,0,0.0571483,0,1
9976,1.039266633,0.163203985,0.551521022,683.2007918,3.507914234,1257.33496,4.469826317,0,0.20313115,0,1
9674,1.019659758,0.174751339,0.568779335,92.73303756,2.711734011,369.0267181,5.010655816,0,0.056578748,0,1
7332,0.961647586,0.170916264,0.560962237,638.5850021,2.270470194,2216.13784,5.198729436,0,0.23914456,0,1
4312,0.914652701,0.156625045,0.536510033,226.7040923,1.676496065,443.7806025,5.577437388,1,0.7328727,1,1
11394,1.010780477,0.168382532,0.569883328,704.2824511,1.413433442,2282.810637,7.078216989,1,0.835705,1,1
5366,0.912894256,0.15877491,0.539592131,320.3303931,2.209393578,603.8068269,5.313350248,0,0.21953622,0,1
9283,0.992243223,0.172608831,0.566038113,533.7483739,2.707702284,1258.235392,4.873322708,0,0.15755561,0,1
7243,1.026083491,0.165905119,0.550219894,191.2044997,1.892218398,676.8401977,5.951933265,1,0.68654525,1,1
4821,1.013062608,0.172180935,0.558134982,56.80861619,2.347278517,45.52522551,4.671643196,0,0.13488185,0,1
11604,1.025615624,0.167534892,0.560687249,109.5434325,2.827440488,162.9064491,5.268301024,0,0.04604802,0,1
498,0.927969974,0.179957357,0.56351814,158.0801744,2.325915951,509.8445393,5.34926433,0,0.20337364,0,1
5790,0.922435419,0.1510537,0.528816216,457.0032583,1.744432346,162.4919481,8.511588349,1,0.89163524,1,1
3563,0.904904876,0.165101941,0.547619991,33.34184587,0.826636652,336.5930518,6.090152644,1,0.9726438,1,1
12515,1.024701782,0.167099679,0.563890469,814.3473619,2.967171267,2103.49252,8.426849893,1,0.766989,1,1
15196,0.947929799,0.165814314,0.573174025,457.3814605,1.032355571,1374.261736,8.960753683,1,0.941243,1,1
1957,1.03660559,0.172878618,0.540173261,400.2587795,2.814339162,243.9185108,7.592551772,1,0.8938872,1,1
1341,1.034744048,0.173582557,0.540668554,730.9017525,5.072009599,1300.998095,4.493509956,0,0.12745193,0,1
9595,0.951918505,0.165008395,0.555421422,1142.143662,2.88938447,3189.037789,5.884698413,0,0.36982015,0,1
10591,0.989283072,0.170904233,0.566071849,776.9624539,3.044388107,2529.644325,5.841160187,0,0.25038227,0,1
10233,0.932589391,0.160723715,0.54686811,1080.818887,2.211479938,1248.622283,7.756972782,1,0.85961086,1,1
16803,1.069144852,0.171635327,0.605529122,788.5311661,2.869654068,2801.848663,4.83561101,0,0.10460699,0,1
11552,0.986139777,0.166039822,0.564225014,136.1362712,1.196554515,563.4806183,8.270821666,1,0.9385727,1,1
5473,0.955012434,0.171268588,0.55891522,205.625707,2.284467726,711.2923364,4.467395658,0,0.1133842,0,1
8607,0.976364224,0.171361241,0.564024907,720.599669,2.610729501,1987.415954,6.829755651,1,0.8234061,1,1
4950,1.007250377,0.175248703,0.564235956,69.75945118,2.446939738,285.9519693,5.791760821,0,0.21887933,0,1
13034,1.000197091,0.165906124,0.567713539,125.672814,2.319678861,473.7601528,5.041738407,0,0.08448486,0,1
9119,1.038906578,0.17622107,0.570351576,5.449250523,1.41439697,43.47532047,4.511803145,1,0.5883069,1,1
7637,1.060631353,0.158077134,0.539984299,1151.423724,2.501411062,598.1757021,5.867284913,1,0.8043087,1,1
2114,1.039422938,0.171045319,0.537128824,1439.86722,4.023132743,1577.885706,4.845950219,0,0.17551623,0,1
10619,0.983059488,0.169661692,0.565285231,1047.757539,2.759565278,2782.425621,5.249057312,0,0.23189649,0,1
6232,1.066617373,0.157464106,0.530556145,1173.512028,2.967215141,1119.332501,5.118248602,1,0.7691915,1,1
12914,1.024183739,0.167290046,0.564855344,924.4235728,2.893807997,2104.191284,8.078118362,1,0.8359074,1,1
6404,1.051174196,0.177472136,0.571721466,138.3594819,3.091821904,469.7661126,4.232005992,0,0.09761454,0,1
8719,1.029441624,0.171343059,0.562476475,795.5096238,3.114846266,1904.417182,5.310335101,0,0.25155634,0,1
1938,0.999813174,0.17371656,0.548146234,525.1310868,2.29332109,435.3522496,6.669123144,1,0.7056552,1,1
9692,0.94609376,0.164291338,0.553584035,1250.52371,2.602613805,2769.421779,7.834608668,1,0.8905969,1,1
9415,0.950296784,0.163394071,0.553918956,803.4830543,2.102087271,2542.917325,5.60620514,0,0.4421201,0,1
15786,1.005469092,0.171378644,0.588717303,811.2084365,2.701963525,541.8465093,7.542651689,1,0.8352543,1,1
13621,1.046390755,0.164580208,0.564240799,907.5304302,1.665858229,1430.376546,9.643155336,1,0.8902857,1,1
14509,1.086044109,0.17159651,0.608684094,117.8964042,1.472166972,163.3990078,8.656056407,1,0.82578385,1,1
14545,1.062155864,0.168763838,0.596616943,521.5335558,3.583799925,1565.414475,4.671444722,0,0.061167374,0,1
14488,1.097173191,0.17274072,0.613889686,208.1098122,1.1519394,1012.158093,7.055199644,1,0.9443216,1,1
15967,0.919586568,0.158630559,0.552193219,531.8838708,2.890656804,1847.325373,5.127004791,0,0.17916848,0,1
11730,0.984410108,0.16832126,0.564914946,949.2215647,2.438058927,3273.137866,6.485732186,1,0.8500592,1,1
