FID_,average_max_rainfall,average_2hr_rainfall,average_72hr_rainfall,distance to coast,EV,TWI,DTW,label,probability_1,predicted,correct
9273,0.923874373,0.156324666,0.537839598,1158.607493,2.412708657,151.2871708,8.871983312,1,0.9250544212360144,1,1
8927,0.925091609,0.159841732,0.543835595,1010.759505,3.077095544,1221.129244,5.089046222,0,0.25165157142658,0,1
9564,1.024523919,0.171687578,0.565466449,178.5869744,2.949244236,628.4603186,5.042556733,0,0.18598281026718194,0,1
16669,1.051515812,0.159350197,0.568013096,774.3845412,3.286816075,1047.881441,6.871341293,1,0.5444849155968489,1,1
17307,0.958652839,0.181978937,0.55151473,51.0343555,2.726217169,94.63864212,4.529828015,0,0.12150485025287312,0,1
12096,0.976281211,0.1665284,0.562112065,598.6090617,1.676674451,2201.760986,6.230329568,1,0.7648527446670151,1,1
12525,0.995271426,0.166062174,0.566509296,17.21119118,1.750669233,149.838595,4.1109697,0,0.2248262798909007,0,1
7354,1.05400854,0.178320307,0.572927426,68.32924876,2.520665274,201.4373562,4.697352576,0,0.20769555295146666,0,1
11846,0.99401192,0.167378992,0.566513093,554.786005,1.534843735,2049.241533,7.580204398,1,0.9097775841822954,1,1
9954,0.927712615,0.157284938,0.540318531,794.767892,1.131738963,460.6395174,7.380193906,1,0.932188840155392,1,1
4977,1.032535209,0.165105086,0.54067048,640.8198731,3.457321414,1339.248436,5.06297264,0,0.2774862980487612,0,1
13589,1.044640711,0.164711459,0.564034806,968.187256,2.366264681,1300.2305,9.952593839,1,0.97675750709049,1,1
2334,1.041228397,0.171511929,0.537082807,1474.134013,3.696248542,2140.360343,8.014934012,1,0.8694168448544295,1,1
8742,0.955418445,0.168905296,0.559277233,905.0702045,3.010012743,2948.752086,5.671259605,0,0.3817769222377313,0,1
8638,0.944589033,0.167128813,0.555537947,596.1398639,3.089280293,2026.721467,4.596978902,0,0.14541751159536978,0,1
3659,1.027067749,0.167462008,0.541884603,757.4514604,3.405263815,146.7279365,4.561456336,0,0.1916314117022039,0,1
16681,0.902450942,0.169444361,0.568885519,31.88248155,0.779851438,156.6990602,6.01728325,1,0.6344321159811329,1,1
16623,0.916070773,0.163259255,0.560891975,152.4955208,1.846489537,356.3108938,5.512604646,0,0.3448004791464279,0,1
6224,1.014451332,0.176036723,0.568908152,355.6022274,2.76125266,1001.744,6.2180019,0,0.41658647265911597,0,1
7559,0.923073174,0.156076273,0.537249854,1070.13085,3.082379841,640.6876076,5.427942182,0,0.31624968822507893,0,1
1206,1.011925845,0.172971067,0.547613529,63.03078225,2.92458111,160.1950573,4.738580788,0,0.1745635771490257,0,1
16449,1.048395951,0.166399902,0.587756929,812.6219239,3.227177032,1147.365521,5.852352946,0,0.28885904923453515,0,1
15004,1.006466659,0.175854152,0.588478122,171.8798589,2.339393695,631.1940235,5.249775389,0,0.2214755140472198,0,1
